"# 文本key","文本value"
"Destiny_Desc_17","Можете изучать навыки у тех кто потерял контроль"
"Destiny_Desc_18","С рождения красноречивы. Ваши цены при торговле выше"
"Destiny_Desc_19","Вы рождены под счастливой звездой."
"Destiny_Desc_20","Добрые или злые поступки будут более известны, Вам зачтется на небесах при реинкарнации."
"Destiny_Desc_21","Вы рождены в знатной семье, с богатой историей в боевых искусствах. При рождении Вы можете выбрать родителей из знатной семьи или секты."
"Destiny_Desc_22","Освободи себя от мирских желаний. Уничтожьте пять проклятий и трех демонов"
"Destiny_Task_Desc_1","Вы получите врага когда вернетесь к выбору кармы"
"Destiny_Task_Desc_2","Необходимо ослепнуть"
"Destiny_Task_Desc_3","Увечье"
"Destiny_Task_Desc_4","В сумме иметь 30 врагов"
"Destiny_Task_Desc_5","15 интимных взаимоотношений в сумме"
"Destiny_Task_Desc_6","Стать Гуру в трансфигурации"
"Destiny_Task_Desc_7","Выжить в течении 3х дней не вступая в секты"
"Destiny_Task_Desc_8","Станьте чемпионом во время альянса боевых искусств"
"Destiny_Task_Desc_9","Приручите 5 разных животных"
"Destiny_Task_Desc_10","Проживите 21 день"
"Destiny_Task_Desc_11","Получите 1000 стаков [холода] в сумме"
"Destiny_Task_Desc_12","Получите 1000 стаков [жара] в сумме"
"Destiny_Task_Desc_13","Получите 49 стаков [яда] в сумме"
"Destiny_Task_Desc_14","Изучите 18 навыков в сумме"
"Destiny_Task_Desc_15","Заработайте 50 000 прибыли от торговли"
"Destiny_Task_Desc_16","Помочь 10 людям в предыдущей жизни"
"Destiny_Task_Desc_17","Убейте, не имея причин на это"
"Destiny_Task_Desc_18","Заприте человека в клетке"
"Destiny_Task_Desc_19","Станьте близкими друзьями или вступите в отношения с 2 представителями сект."
"Destiny_Task_Desc_20","Потревожте Демонов, получите пять проклятий. Попадитесь в ловушку кармы и будьте прокляты судьбой."
"Destiny_Stroy_180000_1","Обманутый в юности, ты провел страшные годы в темной, мрачной шахте. Только с помощью доблестного героя вам удалось спастись."
"Destiny_Stroy_180001_1","Лицо светится, как лучистое солнце; крики звонкие, как грохот барабанов."
"Destiny_Stroy_180002_1","Хампи-храмы. В животе урчит, как гром."
"Destiny_Stroy_180003_1","Во сне вас поражают вендетты из прошлой жизни. Проснувшись, вы вспоминаете события сна только для того, чтобы обнаружить загадочный сценарий, позволяющий проникнуть в давно утерянный Навык."
"Destiny_Stroy_180004_1","Вы потеряли зрение после того, как во время игры с друзьями вам ударили рогаткой в глаз. И все же в вас пробудился неожиданный талант, даровавший вам исключительный слух."
"Destiny_Stroy_180005_1","Ты упал со скалы и покалечил себе ноги. Затем вы съели странный дикий фрукт, который просветил ваш разум и дал вам исключительную проницательность."
"Destiny_Stroy_180006_1","Рожденного под кометой, тебя называли приносителем несчастий. Когда ваши родители рано умерли, вы сбежали в горы, спасаясь от своих хулиганов, только для того, чтобы случайно попасть в залы бессмертных и приобрести врожденный навык [Истребление]"
"Destiny_Stroy_180007_1","Рожденный с непринужденным обаянием, вы вызываете как восхищение поклонников, так и гнев представителей своего пола."
"Destiny_Stroy_180008_1","Ты был слишком красив. Ты всем нравился с детства. Рожденная с неземной грацией, ты была всеми любима с детства и расцвела божественной красотой."
"Destiny_Stroy_180009_1","Ваша необычная внешность вызывала много презрения, пока мудрец-кочевник не увидел ваш потенциал и не научил вас своему секретному Нейгуну. Когда вы достигнете славы, не забывайте своего наставника."
"Destiny_Stroy_180010_1","Ваш талант продолжал расти. Для вас не было препятствий в изучении боевых искусств."
"Destiny_Stroy_180011_1","Большая обезьяна унесла тебя в горы и леса. Через несколько лет вас нашел ручей и вернул обратно. С тех пор вы хорошо разбираетесь в языке животных и, таким образом, сблизились с животными."
"Destiny_Stroy_180012_1","От рождения тупоумный, ваша вялая учеба часто вызывала презрение. Но когда вы займетесь Кунг-фу, вы сможете захватить лидерство, несмотря на позднее начало, и с легкостью решать задачи."
"Destiny_Stroy_180013_1","В холодное снежное время года вы выглядели здоровыми, сияющими и отдохнувшими."
"Destiny_Stroy_180014_1","В жаркое время года чувствуешь себя комфортно и отдохнувшим."
"Destiny_Stroy_180015_1","Родилась с выцветшим родимым пятном в виде фиолетовой змеи на лице, которое с каждым годом становилось все отчетливее."
"Destiny_Stroy_180016_1","Фотографическая память позволяет вам приобретать навыки Кунг-фу ваших противников, просто скрещивая кулаки."
"Destiny_Stroy_180017_1","Вы стали чрезвычайно красноречивы."
"Destiny_Stroy_180018_1","Небо ниспослало доброе предзнаменование. Счастливая звезда сияет высоко."
"Destiny_Stroy_180019_1","Небо обрушило зловещую звезду. Несчастье преследует вас."
"Destiny_Stroy_180020_1","Рожденный слаще цветов, сияющий золотом солнечного света. Радость наполняет все дни, текут богатство и процветание."
"task_desc_1001","Победить врага"
"BegMercy_Player_Accept","Возьми то, что он дал, и отпусти его"
"BegMercy_Player_Refuse","Усмехнитесь и поднимите клинок"
"BegMercy_Enemy_Dialog","Воин, это все твое. Пожалуйста, отпусти меня..."
"BegMercy_Player_Beg","Проси о пощаде"
"BegMercy_Player_Continue","Бой насмерть"
"BegMercy_Player_Dialog","Воин, пожалуйста, отпусти меня..."
"BegMercy_Tutorial_Enemy_Dialog","Воин, я расскажу тебе <TipKey>секретное сообщение</>. Пожалуйста, отпусти меня...\\n<MsgSectStyle>[Нажмите на меня - сообщение для просмотра]</>"
"BegMercy_Player_Give_Litile","Вы действительно думаете, что это может спасти вам жизнь? Этого недостаточно!"
"BegMercy_Player_Give_Enough","Можешь идти!"
"BegMercy_Player_Take_None","Пожалуйста, отпустите меня. Я принимаю ваше наказание"
"BegMercy_Player_Take_Little","Вы так добры! Пожалуйста, возьмите это"
"BegMercy_Player_Take_Overnum","Вы просите слишком многого! Я отказываюсь!!!!"
"KillBonusPanel_Kill_Text","Вы победили"
"KillBonusPanel_Find_Tips_Text","Получено после личного обыска"
"KillBonusPanel_Exit_Btn_Text","Возьми"
"SolarTerm_Name_1","Металлический Чи"
"SolarTerm_Name_2","Деревянный Чи"
"SolarTerm_Name_3","Водная Чи"
"SolarTerm_Name_4","Огненная Ци"
"SolarTerm_Name_5","Земля Чи"
"time_hud_day_text","{0} день <Red_HUD>{1}</>"
"time_msg_day_text","{0} день {1}"
"GameOptionsTips_1","Применить текущее разрешение?"
"GameOptionsPanel_1","Настройки"
"GameOptionsPanel_2","Графика"
"GameOptionsPanel_3","Аудио"
"GameOptionsPanel_4","Разрешение"
"GameOptionsPanel_5","Режим отображения"
"GameOptionsPanel_6","Полноэкранный"
"GameOptionsPanel_7","В окне"
"GameOptionsPanel_8","Вертикальная синхронизация"
"GameOptionsPanel_9","Вкл"
"GameOptionsPanel_10","Выкл"
"GameOptionsPanel_11","Качество графики"
"GameOptionsPanel_12","Высокое"
"GameOptionsPanel_13","Низкое"
"GameOptionsPanel_14","Главное меню"
"GameOptionsPanel_15","Приложение"
"GameOptionsPanel_16","Назад"
"GameOptionsPanel_17","Общая громкость"
"GameOptionsPanel_18","Фоновая музыка"
"GameOptionsPanel_19","Громкость окружения"
"GameOptionsPanel_20","Громкость диалогов"
"GameOptionsPanel_21","Перезапуск маленького мира"
"GameOptionsPanel_22","Закрыть игру"
"GameOptionsPanel_23","Переместить! если застрял!"
"GameOptionsPanel_24","Середнее"
"GameOptionsPanel_25","Язык by DOG729"
"GameOptionsPanel_26","Чувствительность камеры"
"GameOptionsPanel_27","Яркость"
"GameOptionsPanel_28","Насыщенность"
"GameOptionsPanel_29","Громкость эффектов"
"GameOptionsPanel_30","Громкость голоса"
"GameOptionsPanel_31","Управление"
"GameOptionsPanel_32","Остальное"
"GameOptionsPanel_33","Настройки по умолчанию"
"GameOptionsPanel_34","Изменить настройку кнопки·{0} \\n конфликтует с{1},изменить"
"GameOptionsPanel_35","Указатель направления"
"GameOptionsPanel_36","Указатель мыши"
"GameOptionsPanel_37","Метод посадки Цингун"
"GameOptionsPanel_38","Чувтствительность мыши"
"GameOptionsPanel_39","DLSS"
"GameOptionsPanel_40","Удалить все данные"
"GameOptionsPanel_41","Раскройте секретный фоновый режим"
"GameOptionsPanel_42","По умолчанию"
"GameOptionsPanel_43","Силуэты"
"GameOptionsPanel_44","Цвет фона"
"GameOptionsPanel_45","Ограничение кадров"
"GameOptionsPanel_46","Кнопка возврата общего подтверждения обмена"
"GameOptionsPanel_47","Настройки диапазона активации AI с полным эффектом"
"GameOptionsPanel_47_1","Unlimited"
"GameOptionsPanel_47_2","Полнофункциональный ИИ сильно снижает производительность устройства. Изменение диапазона активации полнофункционального ИИ может привести к задержке. Вы уверены, что нужно это изменить?"
"GameOptionsPanel_47_3","Текущая частота кадров слишком низкая. Вам нужно восстановить настройки полноценного ИИ по умолчанию?"
"GameOptionsPanel_48","Motion Blur"
"GameOptionsPanel_49","Cheat Code"
"GameOptionsPanel_50","Enable"
"GameOptionsPanel_51","Disable"
"SystemMenuPanel_1","Продолжить игру"
"SystemMenuPanel_2","Игровые настройки"
"SystemMenuPanel_3","Быстрое сохранение"
"SystemMenuPanel_4","Выйти из маленького мира"
"SystemMenuPanel_5","Обучение"
"SystemMenuPanel_6","Сохранить / Загрузить"
"SystemMenuPanel_7","Загрузить"
"SystemMenuPanel_8","Атлас"
"SystemMenuPanel_bug","Сообщить об ошибке"
"SystemMenuPanel_community","Группа в Discord"
"SystemMenuPanel_Localization_Feedback","Сообщить об ошибке перевода"
"Loading_tips_1","Генерация мира..."
"Loading_tips_2","Создание климата..."
"Loading_tips_3","Создание игровых персонажей..."
"Loading_tips_4","Создание межличностных отношений..."
"Loading_tips_5","Загрузка поведения ИИ..."
"Loading_tips_6","Проверка целостности данных, завершение загрузки..."
"Loading_tips_finish","Мир загружен"
"PlayerInfoPanel_1","Личность"
"PlayerInfoPanel_2","Ци"
"PlayerInfoPanel_3","Живучесть"
"PlayerInfoPanel_4","Вес"
"neili_info_desc","<TipWhite>Ци определяет, сколько у вас Энергии. Использование Цингуна или взбирание по скалам будет потреблять Энергию</>"
"qili_info_desc","<TipWhite>Урон, полученный после истощения Живучести, вызовет [Внутреннюю травму] в меридианах</>"
"feeling_info_desc","<TipWhite>Плохое настроение вызывет [Истерию] в меридианах</>"
"burden_info_desc","<TipWhite>Полный вес влияет на передвижение.</>"
"life_info_desc","<TipWhite>Болезни в меридианах снижают здоровье. Когда здоровье на нуле, вы вернетесь в Карму.</>"
"sect_income_info_hover","<TipWhite>После вступления в секту вы можете вносить свой вклад в заработок секты каждые {0} дней</>"
"RelationInfoPanel_1","Отношения"
"RelationInfoPanel_2","Полное имя"
"RelationInfoPanel_3","Отношение"
"relation_name_0","Незнакомцы"
"relation_name_1","Отец"
"relation_name_2","Мать"
"relation_name_3","Муж"
"relation_name_4","Жена "
"relation_name_5","Старший брат"
"relation_name_6","Младший брат"
"relation_name_7","Старшая сестра"
"relation_name_8","Младшая сестра"
"relation_name_9","Сын"
"relation_name_10","Дочь"
"relation_name_11","Брат наставник"
"relation_name_12","Сестра наставница"
"relation_name_13","Ученик"
"relation_name_14","Ученица"
"relation_name_15","Дружба"
"relation_name_16","Вражда"
"relation_name_17","Маленькая вражда"
"relation_name_18","Интимность"
"relation_name_19","Мастер"
"relation_name_20","Слуга"
"relation_name_21","Обида"
"relation_name_22","Родословная"
"relation_build_name_1","Дорогие друзья"
"relation_build_name_2","Вражда"
"relation_build_name_3","Интимность"
"relation_build_name_4","Маленькая вражда"
"relation_build_name_5","Друзья-ученики"
"relation_build_name_6","Мастер и слуга"
"relation_build_name_7","Семья"
"relation_build_name_8","Обида"
"relation_build_name_9","Компаньон"
"relation_desc_0","<JingTong_1>[Незнакомец]</>"
"relation_desc_1","<ShiLi_2>[Крепкая дружба]</>"
"relation_desc_2","<ShiLi_2>[Родственник по крови]</>"
"relation_desc_3","<ShiLi_2>[Собратья-ученики]</>"
"relation_desc_4","<ShiLi_5>[Вражда]</>"
"relation_desc_5","<ShiLi_2>[Интим]</>"
"relation_desc_6","<ShiLi_4>[Маленькая вражда]</>"
"relation_desc_7","<ShiLi_4>[Торговые партнеры]</>"
"relation_desc_8","<ShiLi_4>[Обида]</>"
"relation_desc_9","<ShiLi_4>[Компаньон]</>"
"relation_class_0","Cлуга"
"relation_class_1","Наставник"
"relation_class_2","Дорогие\\nДрузья"
"relation_class_3","Близкие\\nДрузья"
"relation_class_4","Враждебность"
"relation_class_5","Семья\\nРодословная"
"task_option_relation_0","Личность"
"task_option_relation_1","Наставник"
"task_option_relation_2","Дорогие друзья"
"task_option_relation_3","Интимность"
"task_option_relation_4","Враждебность"
"task_option_relation_5","Родословная"
"task_option_relation_6","Cлуга"
"bed_relation_0","Все"
"bed_relation_1","Учительские ворота"
"bed_relation_2","Близкие друзья"
"bed_relation_3","Любовь в любви"
"bed_relation_4","Жалоба"
"bed_relation_5","Семейная кровь"
"bed_relation_6","Его Величество"
"punish_type_0","Лишить Кунг-фу"
"punish_type_1","Оплатить штрафы"
"punish_type_2","Убить"
"punish_type_3","Задержать"
"female","Жен."
"male","Муж."
"SelfMsgBtn","мне"
"HearSayMsgBtn","Слухи"
"SecretMsgBtn","Секреты"
"EventMsgBtn","Мероприятие"
"MsgTitle","Сообщения"
"SelfMsg","Биография"
"MsgTimeBorn","Новорожденный"
"Secret_Msg_0","Свидетель"
"Secret_Msg_1","Изготовить"
"Secret_Msg_2","Зонд"
"Secret_Msg_Spread","[Распространение новостей]"
"Secret_Msg_Has_Spread","[Новости распространились]"
"Combat_Type_Combat","Начать бой"
"Combat_Type_QiCuo","Начать спарринг"
"MsgDescMe","Я"
"MsgDescUnknown","Неизвестный"
"MsgBeTold","Сказано"
"MsgDesc1","День {0} [{1}] проник в {2}"
"MsgDesc2","Меня зовут {0}. {1} — мой отец, а {2} — моя мать."
"MsgDesc3","{0} против {1} - [{2}]. После жестокой схватки, {3} - [{4}]."
"MsgDesc4","Вы искали сокровища согласно подсказке на карте сокровищ, {0}."
"MsgDesc5","Вы присоединились к [{0}]."
"MsgDesc6","Я стал [{1}] для {0}."
"MsgDesc7","Вы упали с высоты и получили [Инвалидность ног]."
"MsgDesc8","Ваш недуг [Яд] сделал вас [Слепым]."
"MsgDesc9","Ваши отношения с {0} стали [{1}]."
"MsgDesc10","{0} проконсультировался с {1} и приобрел [{2}]."
"MsgDesc11","Вы встретили {0},{1}"
"MsgDesc12","Я построил {0}."
"MsgDesc13","Вы присоединились к соревнованию по Кунг-фу. После жестокой схватки {0}."
"MsgDesc14","Вы вернулись в Карму."
"MsgDesc14_1","Моя душа возвращается к судьбе, умерла в руке {0}"
"MsgDesc16","Мой {0} вылечен."
"MsgDesc17","{0} оторвал голову {1}."
"MsgDesc18","{0} приобретенный навык:{1}."
"MsgDesc19","Секта {0} [{1}] расширила свое влияние."
"MsgDesc20","{0} создал секту [{1}]."
"MsgDesc21","{0} присоединился к секте {1}."
"MsgDesc23","Достигнуто <Red>[Очистка демонов]</>[Лучший демон (ленивец): у вас {0} денег] Очищен один демон"
"MsgDesc24","Достигнуто <Red>[Очистка демонов] </>[Средний демон (Гнев): есть {0} вражды] Очищен один демон"
"MsgDesc25","Достигнуто <Red>[Очистка демонов] </>[Нижний демон (Жажда): иметь {0} интимных отношений] Очистил одного демона"
"MsgDesc26","Вы очистили Трех Демонов и избавились от своей смертной формы."
"StatusNum_1","<TipGray>Текущий уровень:{0}</>"
"NpcProfilePanel_1","Карма"
"NpcItemInfoPanel_1","Навыки"
"NpcItemInfoPanel_2","Снаряжение"
"skill_level_0","R1"
"skill_level_1","R2"
"skill_level_2","R3"
"weather_0","Ясно"
"weather_1","Дождливо"
"weather_2","Снежно"
"acupoints_none","Меридиан"
"acupoints_dantian","Внутреннее поле эликсира"
"acupoints_qixue","Нечетная точка"
"acupoints_jingxue","Акупунктурная точка"
"acupoints_ashixue","Точка аши"
"acupoints_forbidden","Отключено"
"JingMaiPanel_BreakLink","Разрыв меридианов"
"JingMaiPanel_LinkBtn","Соединить меридианы"
"JingMaiPanel_Link","подключиться"
"JingMaiPanel_NeiGongDescBtn","Детали Нейгуна"
"JingMaiPanel_ZhenQiTypeDescBtn","Детали Чи"
"JingMaiPanel_HelpCure","Помочь вылечить"
"JingMaiPanel_Change_NeiGongType","Переключить пейджинг"
"JingMaiPanel_HelpCureDesc"," [Я прохожу Чи] {0}\\n{1} [{2}]"
"JingMaiPanel_Select_NeiGong","Просмотр внутренней силы"
"JingMaiPanel_Open_Book","Откройте книгу Тяньшу"
"QiXue_Desc","Все атаки увеличены"
"JingXue_Desc","Макс. Живучесть увеличена"
"AShiXue_Desc","Макс. грузоподъемность увеличена"
"Forbidden_Desc","Отключено, невозможно соединить"
"JingMaiPanel_Linked"," [Соединено]"
"JingMaiPanel_Unlink"," [Не Соединено]"
"JingMaiPanel_ZhenQi","Ци"
"CurrentProp_Title","Текущая статистика"
"JingMaiPanel_LifeTipsTitle","Текущее здоровье {0}. Максимальное здоровье {1}"
"JingMaiPanel_LifeTipsDesc1","Меридианы (пробел) обозначают максимальное здоровье персонажа.\\nЗаболевания повреждают меридианы и уменьшают здоровье."
"JingMaiPanel_LifeTipsDesc2","Каждое недуг со временем будет ухудшаться в разной степени.\\nКогда здоровье равно 0, персонаж умрет."
"JingMaiPanel_LifeTipsDesc3","При очищении недугов вам необходимо соединить Ци со всеми недугами одного и того же типа. Недомогания будут очищены через мгновение.\\nКаждое недуг требует разной Ци.\\nБольше Ци ускоряет лечение."
"JingMaiPanel_ZhenQiTipsTitle","Текущая Ци <JmTipOrange>{0}</> Макс. Ци <JmTipWhite>{1}</>"
"JingMaiPanel_TipsContent1","Нажмите Внутреннее поле эликсира, чтобы соединить меридианы. Подключение (путем [Нажатия]) к слоту <JmTipWhite> 1 </> будет стоить <JmTipWhite> 1 </> Чи."
"JingMaiPanel_TipsContent2","Подключитесь к каждой акупунктурной точке Внутреннего поля эликсира и соедините их обратно с Внутренним полем эликсира. Таким образом, вы создадите для Ци процедуру активации эффектов акупунктурных точек"
"JingMaiPanel_TipsContent3","Чтобы активировать Нейгун, вам необходимо включить в программу Ци необходимый порядок акупунктурных точек"
"neigong_activated","  <JmTipOrange>[Активировано]</>"
"neigong_unactivated","  <JmTipOrange>[Неактивировано]</>"
"neigong_cancel","  <JmTipRed>[Отменено]</>"
"neigong_order","Upright"
"neigong_reverse","Reverse"
"change_acupoints","Изменить акупунктурную точку"
"add_acupoints","Add Acupoints"
"lv_up_acupoints","Enhance Acupoints"
"lv_up_acupoints_tips","Enhance {0}? Cost: {1} Kungfu Insights."
"change_acupoints_cost","Выпейте 1 таблетку сдвига меридианов"
"change_acupoints_num"," <JmTipOrange>{0}</> раз"
"cure_npc_disease_info","Вы излечили {0} от недугов. Их близость к вам возросла. \\n{1}"
"disease_name_100","[Недуг внутренней травмы]"
"disease_name_101","[Ядовитая болезнь]"
"disease_name_102","[Огонь]"
"disease_name_103","[Ледяная болезнь]"
"disease_name_104","[Истерия]"
"disease_name_105","[Липатический червь]"
"disease_name_106","[Мотыль]"
"disease_name_107","[Недуг нелюбовника]"
"disease_name_108","[Возмездие]"
"disease_name_109","[Слепой]"
"disease_name_110","[Сигил испытания]"
"disease_name_111","[Инвалидность рук]"
"disease_name_112","[Инвалидность ног]"
"YinJi_ZhongShang_Desc","<JmTipRed>[Недуг внутренней травмы]</><JmTipWhite> Прием урона после того, как энергия упадет до 0, приведет к недугу внутренней травмы</>"
"YinJi_JuDu_Desc","<JmTipRed>[Ядовитое состояние]</><JmTipWhite> Если Миазмы подействует несколько раз, это приведет к отравлению ядом, которое распространяется по меридианам каждые 60 секунд. Слишком много ядовитых состояний вызовут [Ослепление ]</>"
"YinJi_HuoDu_Desc","<JmTipRed>[Огонь]</><JmTipWhite> Распространяется по меридианам в полдень каждый день. Огонь может сжечь другие недуги.</>"
"YinJi_HanDu_Desc","<JmTipRed>[Ледяная болезнь]</><JmTipWhite> Если холод подействует 10 раз, это приведет к ледяной болезни</>"
"YinJi_DianKuang_Desc","<JmTipRed>[Истерия]</><JmTipWhite> Плохое настроение приводит к истерии. Слишком сильная истерия может вызвать заблуждение</>"
"YinJi_DengGu_Desc","<JmTipRed>[Заболевание лампового червя]</><JmTipWhite> Отмечает паразита на карте. В большинстве случаев его может очистить только заклинатель.</>"
"YinJi_XueGu_Desc","<JmTipRed>[Недуг Мотыля]</><JmTipWhite> Когда он срабатывает, украдите 1 Энергию для заклинателя. В большинстве случаев его может очистить только заклинатель.</>"
"YinJi_QingGu_Desc","<JmTipRed>[Недуг червя любви]</><JmTipWhite> Привлекает паразита к безусловной близости с заклинателем. Паразитифер не сможет иметь негативное отношение к заклинателю. В большинстве случаев это может быть только очищено заклинателем.</>"
"YinJi_FanShi_Desc","<JmTipRed>[Возмездие]</><JmTipWhite> Наносится возмездие после превышения предела навыков Кунг-фу. Невозможно очистить</>"
"YinJi_ShiMing_Desc","<JmTipRed>[Слепота]</><JmTipWhite> Болезнь глаз. Можно использовать только слух. Невозможно использовать скрытые движения оружием. Можно вылечить в клинике</>"
"YinJi_ShiXinShiGuFU_Desc","<JmTipRed>[Сигил испытания]</><JmTipWhite> Он вступает в силу каждый день в полночь и полдень, случайным образом создавая 3 истерии, которые невозможно очистить в обычных ситуациях.</>"
"YinJi_ShouCan_Desc","<JmTipRed>[Инвалидность рук]</><JmTipWhite>Невозможно использовать движения ладонями и кулаками. Можно очистить в клинике</>"
"YinJi_TuiCan_Desc","<JmTipRed>[Инвалидность ног]</><JmTipWhite> Болезнь ног. Значительно снижает MSPD. Невозможно использовать удары ногами. Можно вылечить в клинике</>"
"BegMercyPanel_NoForgive","Преподай этому парню урок"
"BegMercyPanel_Forgive","Отпусти парня"
"BegMercyPanel_NoBeg","Никогда не сдавайся"
"BegMercyPanel_Beg","Проси о пощаде"
"ExtortionPanel_NoBeg","Никогда не сдавайся"
"ExtortionPanel_Beg","Купи себе выход"
"BuildCreater_BaseTile","Фундамент"
"BuildCreater_Door","Дверь"
"BuildCreater_Furniture","Удобства"
"BuildCreater_Wall","Окно"
"BuildCreater_InDoor","Внутренние ворота"
"BuildCreater_Roof","Крыша"
"BuildCreater_BaseType","Типы фундамента"
"BuildCreater_DoorType","Типы ворот"
"BuildCreater_FurnitureType","Типы объектов"
"BuildCreater_WallType","Типы окон"
"BuildCreater_InDoorType","Типы внутренних ворот"
"BuildCreater_RoofType","Типы крыш"
"BuildCreater_CityWall","Городская стена"
"BuildCreater_Gate","Городские ворота"
"BuildCreater_CityWallType","Типы городских стен"
"BuildCreater_GateType","Типы городских ворот"
"BuildCreater_Previous","следующий шаг"
"BuildCreater_Last","Назад"
"BuildCreater_Out","Выйти"
"BuildCreater_Revoke","Отменить"
"BuildCreater_Compelete","Полный дизайн"
"BuildCreater_Formula","<TipKey>Потребляемый материал</>"
"BuildCreater_ShowList","Чертеж"
"BuildCreater_ModShowList","Чертеж дизайна мода"
"BuildCreater_SaveBuilding","Сохранить чертеж"
"BuildCreater_Bluepoint","Сохранение чертежей"
"BuildCreater_ReturnBuild","Вернуться к дизайну"
"BuildCreater_Tips","<BuildTipsWhite>Нажмите</><BuildTipsR> R</> <BuildTipsWhite>, чтобы повернуть модуль</>"
"BuildCreater_RecordNull","Пусто"
"BuildCreater_ReadRecord","Читать, Сохранять"
"build_tile_unlock_condition","Условия разблокировки:\\n{0}"
"BuildNameWhoS","s"
"BuildNameWhoSHouse","{0}'s {1}"
"BuildNameMyHome","Моё"
"BuildNameInBuilding","Здание"
"BuildNameDesolateHouse","Никому не принадлежит"
"BuildCreate_Rotator","Поворот объекта"
"BuildCreate_Cross_-1","Выбрать внешнее оформление"
"BuildCreate_Cross_0","Выбрать этаж"
"BuildCreate_Cross_1","Выбрать дверь"
"BuildCreate_Cross_2","Выбрать внутреннюю отделку"
"BuildCreate_Cross_3","Выбрать окно"
"BuildCreate_Cross_4","Выбрать крышу"
"BuildCreate_Confirm_-1_0","Поднять объект"
"BuildCreate_Confirm_-1_1","Установить объект"
"BuildCreate_Confirm_0_0","Установить пол"
"BuildCreate_Confirm_0_1","Отменить укладку"
"BuildCreate_Confirm_1","Разместить дверь"
"BuildCreate_Confirm_2_0","поднять обьект"
"BuildCreate_Confirm_2_1","разместить объект"
"BuildCreate_Confirm_3","разместить окна"
"BuildCreate_Confirm_Record","принять"
"BuildCreate_Cross_Record","Выбрать чертеж"
"BuildCreate_Gamepad_LeftTrigger","Настроить камеру"
"BuildCreate_Camera_Far","Расстояние камеры"
"BuildCreate_ChangeMode","Режим переключения"
"BuildCreate_CreateWall","Разместить стену"
"BuildCreate_CreateGate","Разместить городскую стену"
"BuildCreate_MoveCamera","Двигать камеру"
"BuildCreate_ChoseWall","Выбрать городскую стену"
"BuildCreate_ChoseGate","Выбрать городские ворота"
"BuildRebuild_ConfirmDesc","Восстановление вернет здание в исходное состояние, верните: {0}, хотите продолжить!"
"build_change_name_title","Изменить название здания"
"build_change_name_desc","Введите имя"
"build_create_minju","Строить дома"
"build_create_daqi","Расширить территорию"
"build_create_sect","Создать секту"
"T_JZT_ShiBan","Каменная плита"
"T_JZT_LouChuang","Разбитое окно"
"T_JZT_BanWaWD","Крыша из дощатой черепицы"
"T_JZT_BanMen","Дощатая дверь"
"T_JZT_BanMen_D","Большая деревянная дверь"
"T_JZT_TongWaWD","Простая черепичная крыша"
"T_JZT_GeShanMen","Сетчатая дверь"
"T_JZT_GeShanMen_D","Большая сетчатая дверь"
"T_JZT_ShiZhuan","Каменный кирпич"
"T_JZT_GeShanChuang","Сетчатое Окно"
"T_JZT_MuWaWD","Деревянная крыша"
"T_JZT_MuMen","Деревянная дверь"
"T_JZT_MuMen_D","Большая деревянная дверь"
"T_JZT_MuBan","Деревянная доска"
"T_JZT_ZhuLianChuang","Бамбуковое окно"
"T_JZT_MaoCaoWuDing","Соломенная крыша"
"T_JZT_ZhaLanMen","Дверь Забора"
"T_JZT_ZhaLanMen_D","Большая дверь в забор"
"T_JZT_ZhaLan","Изгородь"
"T_JZT_ZhiZhaiChuang","Съемное окно"
"T_JZT_HongMu","Красное дерево"
"T_JZT_ShanGeKaiChuang","Окно с решеткой"
"T_JZT_ShuangCengTongWa","Двойная крыша"
"T_JZT_ShuangCengMen","Двойные двери"
"T_JZT_ShuangCengMen_D","Большие двойные двери"
"T_JZT_QingZhuan","Зеленый кирпич"
"T_JZT_QingZhuanMen","Дверь из зеленого кирпича"
"T_JZT_QingZhuanMen_D","Большая зеленая кирпичная дверь"
"T_JZT_KuanChuang","Широкое окно"
"T_JZT_ShuangCengQingWa","Двойная зеленая плитка"
"T_JZT_ZhuanMu","Кирпич и дерево"
"T_JZT_LouMen","Большие ворота"
"T_JZT_LouMen_D","Большие великие ворота"
"T_JZT_GeLouChuang","Окно-лофт"
"T_JZT_GeLouWuDing","Крыша-чердак"
"T_JZT_ZhuPai","Бамбуковый сверток"
"T_JZT_ZhuMen","Бамбуковая дверь"
"T_JZT_ZhuMen_D","Большая бамбуковая дверь"
"T_JZT_ZhuChuang","Бамбуковое окно"
"T_JZT_ZhuPaiWuDing","Бамбуковая крыша"
"T_JZT_HuangTuWeiQiang","Почвенная стена"
"T_JZT_XiaoMen","Маленькая дверь"
"T_JZT_ShanMen","Горные ворота"
"T_JZT_MuZhuan","Деревянная плитка"
"T_JZT_HeMen","Дверная петля"
"T_JZT_HeMen_D","Большая дверь на петлях"
"T_JZT_MuZhuanChuang","Окно из деревянной плитки"
"T_JZT_MuZhuanWuDing","Деревянная черепичная крыша"
"T_JZT_HuaZhuan","Плитка"
"T_JZT_TongMen","Бронзовые ворота"
"T_JZT_TongMen_D","Большие бронзовые ворота"
"T_JZT_YuanChuang","Круглое окно"
"T_JZT_QingWaWD","Крыша из зеленой черепицы"
"T_JZT_LiHuaMu","Дерево Эрхуа"
"T_JZT_QueMen","Птичья дверь"
